Cc1ccc(cc1)CSCCNC(=O)C[N@](c2cccc(c2)Cl)S(=O)(=O)C,4.25
Cc1c(sc2c1c(=O)n(c(n2)SCC(=O)NC(C)(C)C)CC=C)C,5.33
CCc1ccc(cc1)C(=O)NCCCNS(=O)(=O)C,4.93
Cc1noc(c1)c2c(nn(c2)C)[C@H]3CC[C@@H](CC3)CNC(=O)C4CC4,6.25
c1cncc(c1Cl)C(=O)CCCCCCC#N,3.98
Cc1ccc(cc1)CNC(=O)[C@H]2C[N@](c3ccc(cc3O2)C)S(=O)(=O)c4ccc(cc4)OC,5.35
c1ccc(cc1)CC(=O)N2CCC(=N2)c3ccccc3,5.25
c1ccc(cc1)CCNc2[nH]nc(c(=O)n2)Cc3ccccc3,6.48
CCOC(=O)C1=C(NC(=S)N[C@@H]1c2ccccc2F)C,4.82
c1cc(cc(c1)N2CCCC2=O)NC(=O)CCc3nc(no3)c4ccc(cc4)F,6.11
Cc1cccc(c1)OCCN2c3ccccc3/C(=N\O)/C2=O,4.96
Cc1ccccc1OC[C@H](C(=O)NC2CCN(CC2)c3ncccn3)O,5.69
CC(C)(C)SCCNC(=O)C1CCN(CC1)S(=O)(=O)Cc2c(cccc2Cl)F,5.1
CCN1C(=O)/C(=C/c2cc(c(c(c2)Cl)OCc3ccccc3C#N)OC)/SC1=O,4.53
Cc1cnc(s1)NC(=O)c2cc(cnc2)Cc3ccc(cc3)F,6.23
c1ccc(cc1)c2nc(nn2c3cccc(c3)C(F)(F)F)C(=O)OCC(=O)NC(=O)c4ccccc4,5.45
c1ccc2c(c1)[nH]c(n2)CCC(=O)Nc3ccc4cc[nH]c4c3,6.88
Cc1nc(cc(n1)NC2CCCC2)CC3CCN(CC3)C(=O)c4ccc(nc4)N,7.92
CCn1c(nnc1SCC(=O)Nc2cccc(c2)C(=O)OC(C)C)c3ccc(cc3)OC,5.14
COc1c(cc(cc1Br)c2nc3cnccc3o2)N,5.54
Cc1c(c(=O)[nH]c(n1)N2CCOCC2)Cc3cccc4c3cccc4,5.86
COc1ccc(cc1)CCNC(=S)Nc2ccc(cc2F)F,4.5
CC[C@@H](C(=O)NCC(C)C)N(Cc1ccccc1C)C(=O)COc2cc(cc(c2)C)C,4.25
c1ccc(c(c1)CNC(=O)N2CCC[C@H](C2)OCc3ccccn3)F,5.69
COc1ccc2c(c1)cc([nH]2)C(=O)Nc3ccc(cc3)Cl,5.63
CCC(CC)NC(=O)CSc1[nH]c(=O)c2cn[nH]c2n1,6.22
c1ccc2c(c1)c(=O)n(c(n2)SCC(=O)Nc3cccc(c3)C(F)(F)F)c4ccc(cc4)F,5.63
Cn1cc(cn1)NC(=O)c2cc(no2)c3cccc(c3)Cl,6.1
C[C@@]1(CCS(=O)(=O)C1)NC(=O)C2(CCOCC2)Cc3ccc(cc3)c4cccnc4,5.89
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N2CCOCC2,4.0
CCCc1nc(c2c(n1)n(nn2)Cc3ccccc3)NCCO,5.75
Cc1ccc2c(c(oc2c1)C(=O)Nc3ccc(cc3)n4cnnn4)C,7.44
CC[C@H](C(=O)NC(C)(C)Cc1ccccc1)Oc2ccc(cc2)Cl,4.81
Cc1ccc(cc1)C2=C[C@@H](n3c(ncn3)N2)c4c(cccc4Cl)Cl,6.12
COc1ccc(cc1F)C(=O)NC2(CCCCC2)c3nc(no3)c4cccnc4,6.83
Cc1ccc(c(c1C)OCC(=O)c2ccc(cc2O)O)C,4.22
c1ccc2c(c1)N(C(=O)CCO2)CC(=O)NCc3cccc(c3)C#N,4.96
Cc1cccc(c1)c2nnc3n2N=C(CS3)c4ccc(c(c4)O)O,6.08
Cc1ccc(cc1)S(=O)(=O)[N@@](Cc2c(cccc2Cl)F)CC(=O)NCc3ccc(cc3)OC,5.93
C[C@@H](c1cc2ccccc2o1)C(=O)NCCC(=O)NC3CCCC3,4.46
CN(C)c1nc(on1)[C@H]2CCCN(C2)C(=O)Cc3cccs3,4.98
Cc1nc2c(c(n1)N(C)C)CCN(C2)C(=O)c3cc(n[nH]3)c4ccc(cc4)O,6.84
Cc1ccc(o1)/C=C/2\C(=O)OC(=N2)c3ccc(c(c3)OC)OC(F)F,4.67
CC(C)(C)C1CCC(CC1)NC(=O)C(=O)NCc2ccccn2,6.05
CCOC(=O)c1c(n(c2c1cc(cc2)O)c3ccccc3)C,4.24
CN1c2ccccc2[C@](C1=O)(Cc3ccccc3)CC(=O)NCc4ccncc4,5.98
c1ccc2c(c1)CCN(C2)C(=O)c3ccc(cc3)C[N@@]4CCc5c4cccc5,6.2
Cc1cc2cc(c(=O)[nH]c2cc1C)CCNC(=O)c3cccc(c3)C(F)(F)F,5.15
Cc1c2c(oc1C(=O)N)CC(C[C@H]2O)(C)C,4.62
C[C@H](C(=O)NCc1ccc(cc1)n2ccnc2)SCc3ccccc3,5.29
C/C(=N/[C@H](CS)C(=O)ON1C(=O)CCC1=O)/O,2.92
Cc1ccc(cc1)NC(=O)CCNC(=O)c2c(cc(n(c2=O)C)C)C,5.7
Cc1c(ccc(c1N)OC)Br,3.76
Cc1cc(c(c(c1)C)NC(=O)c2cnc(nc2C)c3ccc(cc3)F)C,6.48
C[N@@](c1ccc(cc1)C(=O)NCCCOC)S(=O)(=O)c2ccc(cc2)SC,3.68
c1cc(cc(c1)Cl)N2C(=O)/C(=C/c3ccc(o3)Br)/C(=O)NC2=O,5.3
Cc1ccc(cc1F)NC(=O)COC(=O)COc2ccc(cc2)Cl,4.38
